,lemma,liczba_wystapien,czestosc_wystapien,liczba_dzieci,czestosc_dzieci
1433,książeczka,28,0.007110208227526663,27,0.031877213695395513
2517,potem,28,0.007110208227526663,21,0.024793388429752067
1442,kuba,28,0.007110208227526663,20,0.023612750885478158
2554,prezent,28,0.007110208227526663,26,0.030696576151121605
3563,wziąć,28,0.007110208227526663,26,0.030696576151121605
3676,założyć,28,0.007110208227526663,23,0.02715466351829988
532,czerwony,28,0.007110208227526663,22,0.025974025974025976
3789,zupka,27,0.006856272219400711,25,0.0295159386068477
2153,pa,27,0.006856272219400711,13,0.015348288075560802
322,budować,27,0.006856272219400711,22,0.025974025974025976
2954,spacerek,27,0.006856272219400711,25,0.0295159386068477
2719,raz,26,0.006602336211274758,22,0.025974025974025976
2211,patrzyć,26,0.006602336211274758,23,0.02715466351829988
3600,zabrać,26,0.006602336211274758,22,0.025974025974025976
3234,trzeba,26,0.006602336211274758,21,0.024793388429752067
1963,niunia,25,0.0063484002031488065,13,0.015348288075560802
2028,od,25,0.0063484002031488065,23,0.02715466351829988
1637,malować,25,0.0063484002031488065,19,0.02243211334120425
2088,ola,25,0.0063484002031488065,18,0.021251475796930343
3156,telewizor,25,0.0063484002031488065,24,0.02833530106257379
1080,jeden,25,0.0063484002031488065,24,0.02833530106257379
3320,umieć,25,0.0063484002031488065,23,0.02715466351829988
3786,zupa,25,0.0063484002031488065,22,0.025974025974025976
3314,układać,24,0.006094464195022855,21,0.024793388429752067
335,buma,24,0.006094464195022855,14,0.01652892561983471
3657,zaraz,24,0.006094464195022855,22,0.025974025974025976
607,dobry,24,0.006094464195022855,22,0.025974025974025976
1502,lal,24,0.006094464195022855,19,0.02243211334120425
2747,rok,24,0.006094464195022855,17,0.020070838252656435
247,bić,24,0.006094464195022855,24,0.02833530106257379
3628,zakupy,24,0.006094464195022855,23,0.02715466351829988
692,dziadzie,23,0.005840528186896902,19,0.02243211334120425
3041,swój,23,0.005840528186896902,21,0.024793388429752067
3287,ubrać,23,0.005840528186896902,21,0.024793388429752067
1330,komputer,23,0.005840528186896902,20,0.023612750885478158
1934,niegrzeczny,23,0.005840528186896902,20,0.023612750885478158
2999,stać,22,0.00558659217877095,21,0.024793388429752067
2940,soczek,22,0.00558659217877095,19,0.02243211334120425
306,brum,22,0.00558659217877095,8,0.009445100354191263
1591,lód,22,0.00558659217877095,18,0.021251475796930343
3758,zmęczony,22,0.00558659217877095,20,0.023612750885478158
3759,zmęczyć,22,0.00558659217877095,20,0.023612750885478158
1989,nowy,22,0.00558659217877095,21,0.024793388429752067
2277,piesek,22,0.00558659217877095,20,0.023612750885478158
2163,padać,21,0.005332656170644997,19,0.02243211334120425
942,góra,21,0.005332656170644997,21,0.024793388429752067
524,czekać,21,0.005332656170644997,19,0.02243211334120425
2758,rower,21,0.005332656170644997,17,0.020070838252656435
197,basen,21,0.005332656170644997,20,0.023612750885478158
724,dzień,21,0.005332656170644997,18,0.021251475796930343
209,bać,21,0.005332656170644997,19,0.02243211334120425
1662,mamuś,21,0.005332656170644997,9,0.010625737898465172
2802,rączka,21,0.005332656170644997,20,0.023612750885478158
1511,las,21,0.005332656170644997,20,0.023612750885478158
1976,noga,21,0.005332656170644997,19,0.02243211334120425
3280,ubierać,21,0.005332656170644997,16,0.018890200708382526
3904,światło,20,0.005078720162519045,18,0.021251475796930343
3338,urodziny,20,0.005078720162519045,18,0.021251475796930343
645,drugi,20,0.005078720162519045,14,0.01652892561983471
509,cukierka,20,0.005078720162519045,18,0.021251475796930343
1440,który,20,0.005078720162519045,18,0.021251475796930343
799,fajnie,20,0.005078720162519045,15,0.01770956316410862
3256,twój,20,0.005078720162519045,19,0.02243211334120425
2569,przecież,20,0.005078720162519045,17,0.020070838252656435
1397,kredka,20,0.005078720162519045,20,0.023612750885478158
3217,traktor,20,0.005078720162519045,18,0.021251475796930343
