,lemma_18_20m,liczba_wystapien_18_20m,czestosc_wystapien_18_20m,liczba_dzieci_18_20m,czestosc_dzieci_18_20m,lemma_21_23m,liczba_wystapien_21_23m,czestosc_wystapien_21_23m,liczba_dzieci_21_23m,czestosc_dzieci_21_23m,lemma_24_26m,liczba_wystapien_24_26m,czestosc_wystapien_24_26m,liczba_dzieci_24_26m,czestosc_dzieci_24_26m,lemma_27_29m,liczba_wystapien_27_29m,czestosc_wystapien_27_29m,liczba_dzieci_27_29m,czestosc_dzieci_27_29m,lemma_30_32m,liczba_wystapien_30_32m,czestosc_wystapien_30_32m,liczba_dzieci_30_32m,czestosc_dzieci_30_32m,lemma_33_40m,liczba_wystapien_33_40m,czestosc_wystapien_33_40m,liczba_dzieci_33_40m,czestosc_dzieci_33_40m
27,babcia,22.0,0.031609195402298854,11.0,0.05612244897959184,jechać,37.0,0.028951486697965573,25.0,0.09652509652509653,a,70.0,0.03717472118959108,40.0,0.12048192771084337,a,81.0,0.04149590163934426,49.0,0.14454277286135694,ten,100.0,0.043591979075850044,62.0,0.1618798955613577,bajka,139,0.049360795454545456,112,0.22718052738336714
28,pa,21.0,0.03017241379310345,11.0,0.05612244897959184,on,33.0,0.025821596244131457,20.0,0.07722007722007722,praca,70.0,0.03717472118959108,58.0,0.1746987951807229,mój,77.0,0.03944672131147541,49.0,0.14454277286135694,bo,97.0,0.042284219703574544,52.0,0.13577023498694518,spać,137,0.048650568181818184,111,0.22515212981744423
29,aaa,19.0,0.027298850574712645,15.0,0.07653061224489796,co,31.0,0.024256651017214397,24.0,0.09266409266409266,kupić,58.0,0.030801911842804036,45.0,0.1355421686746988,mamusia,75.0,0.038422131147540985,39.0,0.11504424778761062,co,96.0,0.041848299912816043,66.0,0.17232375979112272,jak,133,0.04723011363636364,82,0.1663286004056795
30,lal,16.0,0.022988505747126436,13.0,0.0663265306122449,ty,31.0,0.024256651017214397,20.0,0.07722007722007722,mój,58.0,0.030801911842804036,42.0,0.12650602409638553,kupić,71.0,0.03637295081967213,52.0,0.15339233038348082,praca,95.0,0.04141238012205754,73.0,0.1906005221932115,kupić,127,0.045099431818181816,99,0.20081135902636918
31,buma,16.0,0.022988505747126436,8.0,0.04081632653061224,i,30.0,0.023474178403755867,22.0,0.08494208494208494,brum,54.0,0.02867764206054169,20.0,0.060240963855421686,móc,65.0,0.033299180327868855,47.0,0.13864306784660768,pić,85.0,0.037053182214472534,76.0,0.19843342036553524,gdzie,126,0.044744318181818184,98,0.19878296146044624
32,co,15.0,0.021551724137931036,13.0,0.0663265306122449,tatuś,30.0,0.023474178403755867,17.0,0.06563706563706563,co,49.0,0.026022304832713755,36.0,0.10843373493975904,jeść,64.0,0.03278688524590164,55.0,0.16224188790560473,jak,82.0,0.03574542284219703,46.0,0.12010443864229765,pić,120,0.04261363636363636,107,0.21703853955375255
33,myj,15.0,0.021551724137931036,5.0,0.025510204081632654,mleko,30.0,0.023474178403755867,24.0,0.09266409266409266,tatuś,48.0,0.025491237387148168,32.0,0.0963855421686747,be,60.0,0.030737704918032786,37.0,0.10914454277286136,on,80.0,0.03487358326068003,48.0,0.12532637075718014,ten,120,0.04261363636363636,85,0.1724137931034483
34,dzidza,14.0,0.020114942528735632,13.0,0.0663265306122449,jeść,29.0,0.02269170579029734,24.0,0.09266409266409266,pojechać,47.0,0.02496016994158258,33.0,0.09939759036144578,tam,58.0,0.02971311475409836,45.0,0.13274336283185842,móc,80.0,0.03487358326068003,54.0,0.1409921671018277,on,118,0.04190340909090909,81,0.1643002028397566
35,w,14.0,0.020114942528735632,9.0,0.04591836734693878,praca,29.0,0.02269170579029734,24.0,0.09266409266409266,baba,45.0,0.02389803505045141,33.0,0.09939759036144578,co,58.0,0.02971311475409836,44.0,0.12979351032448377,kochać,79.0,0.03443766346992153,65.0,0.16971279373368145,dzisiaj,117,0.041548295454545456,77,0.15618661257606492
36,gdzie,13.0,0.01867816091954023,8.0,0.04081632653061224,niunia,27.0,0.02112676056338028,10.0,0.03861003861003861,pójść,45.0,0.02389803505045141,34.0,0.10240963855421686,bawić,56.0,0.028688524590163935,45.0,0.13274336283185842,gdzie,77.0,0.03356582388840453,62.0,0.1618798955613577,zrobić,116,0.041193181818181816,90,0.18255578093306288
