,liczba_wystapien_18_20m,czestosc_wystapien_18_20m,liczba_dzieci_18_20m,czestosc_dzieci_18_20m,liczba_wystapien_21_23m,czestosc_wystapien_21_23m,liczba_dzieci_21_23m,czestosc_dzieci_21_23m,liczba_wystapien_24_26m,czestosc_wystapien_24_26m,liczba_dzieci_24_26m,czestosc_dzieci_24_26m,liczba_wystapien_27_29m,czestosc_wystapien_27_29m,liczba_dzieci_27_29m,czestosc_dzieci_27_29m,liczba_wystapien_30_32m,czestosc_wystapien_30_32m,liczba_dzieci_30_32m,czestosc_dzieci_30_32m,liczba_wystapien_33_40m,czestosc_wystapien_33_40m,liczba_dzieci_33_40m,czestosc_dzieci_33_40m
bajka,2.0,0.0028735632183908046,1.0,0.00510204081632653,13.0,0.010172143974960876,11.0,0.04247104247104247,30.0,0.015932023366967606,27.0,0.08132530120481928,42.0,0.02151639344262295,38.0,0.11209439528023599,71.0,0.03095030514385353,62.0,0.1618798955613577,139.0,0.049360795454545456,112.0,0.22718052738336714
spać,36.0,0.05172413793103448,32.0,0.16326530612244897,76.0,0.0594679186228482,55.0,0.21235521235521235,104.0,0.05523101433882103,80.0,0.24096385542168675,107.0,0.0548155737704918,82.0,0.24188790560471976,115.0,0.05013077593722755,92.0,0.2402088772845953,137.0,0.048650568181818184,111.0,0.22515212981744423
jak,,,,,4.0,0.003129890453834116,3.0,0.011583011583011582,22.0,0.01168348380244291,17.0,0.05120481927710843,49.0,0.025102459016393443,34.0,0.10029498525073746,82.0,0.03574542284219703,46.0,0.12010443864229765,133.0,0.04723011363636364,82.0,0.1663286004056795
kupić,4.0,0.005747126436781609,3.0,0.015306122448979591,16.0,0.012519561815336464,11.0,0.04247104247104247,58.0,0.030801911842804036,45.0,0.1355421686746988,71.0,0.03637295081967213,52.0,0.15339233038348082,101.0,0.044027898866608545,76.0,0.19843342036553524,127.0,0.045099431818181816,99.0,0.20081135902636918
gdzie,13.0,0.01867816091954023,8.0,0.04081632653061224,48.0,0.03755868544600939,28.0,0.10810810810810811,80.0,0.04248539564524695,53.0,0.15963855421686746,83.0,0.04252049180327869,52.0,0.15339233038348082,77.0,0.03356582388840453,62.0,0.1618798955613577,126.0,0.044744318181818184,98.0,0.19878296146044624
pić,51.0,0.07327586206896551,42.0,0.21428571428571427,71.0,0.05555555555555555,52.0,0.20077220077220076,98.0,0.05204460966542751,74.0,0.22289156626506024,99.0,0.0507172131147541,84.0,0.24778761061946902,85.0,0.037053182214472534,76.0,0.19843342036553524,120.0,0.04261363636363636,107.0,0.21703853955375255
ten,7.0,0.010057471264367816,4.0,0.02040816326530612,10.0,0.00782472613458529,7.0,0.02702702702702703,37.0,0.01964949548592671,28.0,0.08433734939759036,47.0,0.024077868852459015,36.0,0.10619469026548672,100.0,0.043591979075850044,62.0,0.1618798955613577,120.0,0.04261363636363636,85.0,0.1724137931034483
on,6.0,0.008620689655172414,6.0,0.030612244897959183,33.0,0.025821596244131457,20.0,0.07722007722007722,23.0,0.012214551248008496,15.0,0.045180722891566265,53.0,0.027151639344262294,37.0,0.10914454277286136,80.0,0.03487358326068003,48.0,0.12532637075718014,118.0,0.04190340909090909,81.0,0.1643002028397566
dzisiaj,2.0,0.0028735632183908046,1.0,0.00510204081632653,4.0,0.003129890453834116,4.0,0.015444015444015444,17.0,0.009028146574614976,12.0,0.03614457831325301,11.0,0.0056352459016393444,8.0,0.02359882005899705,37.0,0.016129032258064516,32.0,0.0835509138381201,117.0,0.041548295454545456,77.0,0.15618661257606492
zrobić,1.0,0.0014367816091954023,1.0,0.00510204081632653,13.0,0.010172143974960876,9.0,0.03474903474903475,33.0,0.017525225703664365,25.0,0.07530120481927711,48.0,0.02459016393442623,36.0,0.10619469026548672,72.0,0.03138622493461203,57.0,0.14882506527415143,116.0,0.041193181818181816,90.0,0.18255578093306288
co,15.0,0.021551724137931036,13.0,0.0663265306122449,31.0,0.024256651017214397,24.0,0.09266409266409266,49.0,0.026022304832713755,36.0,0.10843373493975904,58.0,0.02971311475409836,44.0,0.12979351032448377,96.0,0.041848299912816043,66.0,0.17232375979112272,109.0,0.03870738636363636,79.0,0.16024340770791076
pojechać,3.0,0.004310344827586207,2.0,0.01020408163265306,15.0,0.011737089201877934,9.0,0.03474903474903475,47.0,0.02496016994158258,33.0,0.09939759036144578,51.0,0.02612704918032787,42.0,0.12389380530973451,74.0,0.03225806451612903,50.0,0.13054830287206268,108.0,0.03835227272727273,82.0,0.1663286004056795
bawić,9.0,0.01293103448275862,5.0,0.025510204081632654,21.0,0.01643192488262911,17.0,0.06563706563706563,35.0,0.01858736059479554,31.0,0.09337349397590361,56.0,0.028688524590163935,45.0,0.13274336283185842,58.0,0.025283347863993024,47.0,0.1227154046997389,102.0,0.03622159090909091,79.0,0.16024340770791076
jeść,10.0,0.014367816091954023,7.0,0.03571428571428571,29.0,0.02269170579029734,24.0,0.09266409266409266,39.0,0.020711630377057887,33.0,0.09939759036144578,64.0,0.03278688524590164,55.0,0.16224188790560473,69.0,0.03007846556233653,61.0,0.15926892950391644,100.0,0.03551136363636364,84.0,0.17038539553752535
praca,12.0,0.017241379310344827,12.0,0.061224489795918366,29.0,0.02269170579029734,24.0,0.09266409266409266,70.0,0.03717472118959108,58.0,0.1746987951807229,83.0,0.04252049180327869,68.0,0.20058997050147492,95.0,0.04141238012205754,73.0,0.1906005221932115,98.0,0.03480113636363636,81.0,0.1643002028397566
włączyć,,,,,15.0,0.011737089201877934,13.0,0.05019305019305019,29.0,0.015400955921402018,26.0,0.0783132530120482,41.0,0.021004098360655737,36.0,0.10619469026548672,47.0,0.02048823016564952,43.0,0.1122715404699739,96.0,0.03409090909090909,77.0,0.15618661257606492
chodzić,61.0,0.08764367816091954,37.0,0.18877551020408162,98.0,0.07668231611893583,61.0,0.23552123552123552,120.0,0.06372809346787042,79.0,0.23795180722891565,120.0,0.06147540983606557,77.0,0.22713864306784662,102.0,0.044463818657367045,71.0,0.185378590078329,94.0,0.033380681818181816,76.0,0.15415821501014199
mamusia,5.0,0.007183908045977011,5.0,0.025510204081632654,21.0,0.01643192488262911,16.0,0.06177606177606178,39.0,0.020711630377057887,24.0,0.07228915662650602,75.0,0.038422131147540985,39.0,0.11504424778761062,51.0,0.022231909328683522,36.0,0.09399477806788512,94.0,0.033380681818181816,61.0,0.12373225152129817
czy,2.0,0.0028735632183908046,1.0,0.00510204081632653,1.0,0.000782472613458529,1.0,0.003861003861003861,17.0,0.009028146574614976,10.0,0.030120481927710843,23.0,0.0117827868852459,17.0,0.05014749262536873,40.0,0.017436791630340016,30.0,0.0783289817232376,93.0,0.033025568181818184,56.0,0.11359026369168357
tu,57.0,0.08189655172413793,38.0,0.19387755102040816,105.0,0.08215962441314555,53.0,0.20463320463320464,116.0,0.06160382368560807,56.0,0.1686746987951807,94.0,0.04815573770491803,63.0,0.18584070796460178,102.0,0.044463818657367045,57.0,0.14882506527415143,92.0,0.032670454545454544,64.0,0.12981744421906694
lubić,8.0,0.011494252873563218,6.0,0.030612244897959183,5.0,0.003912363067292645,5.0,0.019305019305019305,21.0,0.011152416356877323,16.0,0.04819277108433735,34.0,0.017418032786885244,28.0,0.08259587020648967,51.0,0.022231909328683522,42.0,0.10966057441253264,88.0,0.03125,66.0,0.13387423935091278
kochać,4.0,0.005747126436781609,3.0,0.015306122448979591,16.0,0.012519561815336464,13.0,0.05019305019305019,36.0,0.019118428040361127,26.0,0.0783132530120482,50.0,0.025614754098360656,42.0,0.12389380530973451,79.0,0.03443766346992153,65.0,0.16971279373368145,87.0,0.030894886363636364,67.0,0.1359026369168357
tatuś,7.0,0.010057471264367816,7.0,0.03571428571428571,30.0,0.023474178403755867,17.0,0.06563706563706563,48.0,0.025491237387148168,32.0,0.0963855421686747,46.0,0.0235655737704918,33.0,0.09734513274336283,57.0,0.024847428073234524,37.0,0.09660574412532637,75.0,0.026633522727272728,51.0,0.10344827586206896
bardzo,,,,,,,,,10.0,0.0053106744556558685,9.0,0.02710843373493976,22.0,0.011270491803278689,20.0,0.058997050147492625,25.0,0.010897994768962511,21.0,0.05483028720626632,73.0,0.025923295454545456,59.0,0.11967545638945233
tato,5.0,0.007183908045977011,5.0,0.025510204081632654,18.0,0.014084507042253521,12.0,0.04633204633204633,33.0,0.017525225703664365,27.0,0.08132530120481928,41.0,0.021004098360655737,29.0,0.0855457227138643,41.0,0.017872711421098517,31.0,0.08093994778067885,73.0,0.025923295454545456,50.0,0.10141987829614604
duży,4.0,0.005747126436781609,3.0,0.015306122448979591,9.0,0.007042253521126761,7.0,0.02702702702702703,20.0,0.010621348911311737,17.0,0.05120481927710843,41.0,0.021004098360655737,31.0,0.09144542772861357,38.0,0.016564952048823016,31.0,0.08093994778067885,73.0,0.025923295454545456,57.0,0.11561866125760649
robić,4.0,0.005747126436781609,3.0,0.015306122448979591,8.0,0.006259780907668232,8.0,0.03088803088803089,34.0,0.018056293149229952,25.0,0.07530120481927711,50.0,0.025614754098360656,42.0,0.12389380530973451,46.0,0.02005231037489102,42.0,0.10966057441253264,72.0,0.02556818181818182,56.0,0.11359026369168357
po,1.0,0.0014367816091954023,1.0,0.00510204081632653,6.0,0.004694835680751174,5.0,0.019305019305019305,20.0,0.010621348911311737,17.0,0.05120481927710843,18.0,0.009221311475409836,14.0,0.04129793510324484,46.0,0.02005231037489102,36.0,0.09399477806788512,69.0,0.024502840909090908,58.0,0.11764705882352941
kiedy,1.0,0.0014367816091954023,1.0,0.00510204081632653,,,,,9.0,0.004779607010090282,7.0,0.02108433734939759,19.0,0.00973360655737705,13.0,0.038348082595870206,27.0,0.011769834350479512,23.0,0.06005221932114883,67.0,0.023792613636363636,52.0,0.10547667342799188
sklep,3.0,0.004310344827586207,3.0,0.015306122448979591,6.0,0.004694835680751174,5.0,0.019305019305019305,20.0,0.010621348911311737,17.0,0.05120481927710843,50.0,0.025614754098360656,44.0,0.12979351032448377,47.0,0.02048823016564952,40.0,0.10443864229765012,64.0,0.022727272727272728,57.0,0.11561866125760649
głodny,2.0,0.0028735632183908046,2.0,0.01020408163265306,2.0,0.001564945226917058,2.0,0.007722007722007722,8.0,0.004248539564524694,7.0,0.02108433734939759,18.0,0.009221311475409836,16.0,0.0471976401179941,28.0,0.012205754141238012,27.0,0.07049608355091384,64.0,0.022727272727272728,58.0,0.11764705882352941
tam,44.0,0.06321839080459771,28.0,0.14285714285714285,54.0,0.04225352112676056,35.0,0.13513513513513514,81.0,0.043016463090812536,56.0,0.1686746987951807,58.0,0.02971311475409836,45.0,0.13274336283185842,70.0,0.03051438535309503,47.0,0.1227154046997389,62.0,0.022017045454545456,51.0,0.10344827586206896
ciocia,11.0,0.015804597701149427,8.0,0.04081632653061224,17.0,0.013302034428794992,15.0,0.05791505791505792,36.0,0.019118428040361127,32.0,0.0963855421686747,40.0,0.020491803278688523,31.0,0.09144542772861357,42.0,0.018308631211857017,32.0,0.0835509138381201,61.0,0.02166193181818182,51.0,0.10344827586206896
pobawić,1.0,0.0014367816091954023,1.0,0.00510204081632653,5.0,0.003912363067292645,2.0,0.007722007722007722,8.0,0.004248539564524694,8.0,0.024096385542168676,19.0,0.00973360655737705,15.0,0.04424778761061947,35.0,0.015257192676547515,31.0,0.08093994778067885,61.0,0.02166193181818182,48.0,0.0973630831643002
przyjść,3.0,0.004310344827586207,2.0,0.01020408163265306,11.0,0.008607198748043818,7.0,0.02702702702702703,21.0,0.011152416356877323,17.0,0.05120481927710843,24.0,0.012295081967213115,18.0,0.05309734513274336,36.0,0.015693112467306015,30.0,0.0783289817232376,59.0,0.020951704545454544,49.0,0.09939148073022312
jeszcze,1.0,0.0014367816091954023,1.0,0.00510204081632653,13.0,0.010172143974960876,9.0,0.03474903474903475,16.0,0.008497079129049389,14.0,0.04216867469879518,24.0,0.012295081967213115,20.0,0.058997050147492625,42.0,0.018308631211857017,28.0,0.0731070496083551,59.0,0.020951704545454544,48.0,0.0973630831643002
musieć,2.0,0.0028735632183908046,2.0,0.01020408163265306,3.0,0.002347417840375587,2.0,0.007722007722007722,11.0,0.005841741901221455,11.0,0.03313253012048193,25.0,0.012807377049180328,19.0,0.05604719764011799,48.0,0.020924149956408022,35.0,0.09138381201044386,57.0,0.020241477272727272,48.0,0.0973630831643002
spacer,5.0,0.007183908045977011,4.0,0.02040816326530612,4.0,0.003129890453834116,4.0,0.015444015444015444,18.0,0.009559214020180564,17.0,0.05120481927710843,23.0,0.0117827868852459,19.0,0.05604719764011799,31.0,0.013513513513513514,27.0,0.07049608355091384,55.0,0.01953125,49.0,0.09939148073022312
o,4.0,0.005747126436781609,3.0,0.015306122448979591,18.0,0.014084507042253521,15.0,0.05791505791505792,20.0,0.010621348911311737,13.0,0.0391566265060241,33.0,0.016905737704918034,30.0,0.08849557522123894,43.0,0.018744551002615517,29.0,0.07571801566579635,52.0,0.018465909090909092,40.0,0.08113590263691683
teraz,8.0,0.011494252873563218,6.0,0.030612244897959183,7.0,0.005477308294209703,3.0,0.011583011583011582,21.0,0.011152416356877323,14.0,0.04216867469879518,33.0,0.016905737704918034,21.0,0.061946902654867256,19.0,0.008282476024411508,16.0,0.04177545691906005,52.0,0.018465909090909092,43.0,0.0872210953346856
taki,1.0,0.0014367816091954023,1.0,0.00510204081632653,1.0,0.000782472613458529,1.0,0.003861003861003861,15.0,0.007966011683483803,11.0,0.03313253012048193,19.0,0.00973360655737705,13.0,0.038348082595870206,35.0,0.015257192676547515,24.0,0.06266318537859007,51.0,0.018110795454545456,42.0,0.08519269776876268
boleć,1.0,0.0014367816091954023,1.0,0.00510204081632653,13.0,0.010172143974960876,11.0,0.04247104247104247,17.0,0.009028146574614976,16.0,0.04819277108433735,17.0,0.008709016393442622,14.0,0.04129793510324484,36.0,0.015693112467306015,31.0,0.08093994778067885,51.0,0.018110795454545456,43.0,0.0872210953346856
oglądać,2.0,0.0028735632183908046,2.0,0.01020408163265306,9.0,0.007042253521126761,8.0,0.03088803088803089,14.0,0.007434944237918215,13.0,0.0391566265060241,14.0,0.007172131147540984,14.0,0.04129793510324484,23.0,0.01002615518744551,21.0,0.05483028720626632,51.0,0.018110795454545456,43.0,0.0872210953346856
dziadek,4.0,0.005747126436781609,3.0,0.015306122448979591,12.0,0.009389671361502348,10.0,0.03861003861003861,28.0,0.01486988847583643,21.0,0.06325301204819277,22.0,0.011270491803278689,19.0,0.05604719764011799,40.0,0.017436791630340016,31.0,0.08093994778067885,49.0,0.01740056818181818,40.0,0.08113590263691683
jutro,,,,,1.0,0.000782472613458529,1.0,0.003861003861003861,7.0,0.0037174721189591076,6.0,0.018072289156626505,13.0,0.00665983606557377,12.0,0.035398230088495575,22.0,0.00959023539668701,20.0,0.05221932114882506,49.0,0.01740056818181818,41.0,0.08316430020283976
zabawa,4.0,0.005747126436781609,1.0,0.00510204081632653,2.0,0.001564945226917058,1.0,0.003861003861003861,11.0,0.005841741901221455,11.0,0.03313253012048193,11.0,0.0056352459016393444,11.0,0.032448377581120944,17.0,0.0074106364428945075,14.0,0.03655352480417755,48.0,0.017045454545454544,46.0,0.09330628803245436
prosić,4.0,0.005747126436781609,4.0,0.02040816326530612,7.0,0.005477308294209703,6.0,0.023166023166023165,23.0,0.012214551248008496,20.0,0.060240963855421686,22.0,0.011270491803278689,16.0,0.0471976401179941,19.0,0.008282476024411508,16.0,0.04177545691906005,47.0,0.016690340909090908,37.0,0.07505070993914807
dom,6.0,0.008620689655172414,5.0,0.025510204081632654,13.0,0.010172143974960876,11.0,0.04247104247104247,36.0,0.019118428040361127,29.0,0.08734939759036145,15.0,0.007684426229508197,12.0,0.035398230088495575,25.0,0.010897994768962511,21.0,0.05483028720626632,46.0,0.016335227272727272,38.0,0.07707910750507099
plac,4.0,0.005747126436781609,1.0,0.00510204081632653,1.0,0.000782472613458529,1.0,0.003861003861003861,11.0,0.005841741901221455,11.0,0.03313253012048193,13.0,0.00665983606557377,13.0,0.038348082595870206,17.0,0.0074106364428945075,14.0,0.03655352480417755,45.0,0.015980113636363636,43.0,0.0872210953346856
pani,2.0,0.0028735632183908046,2.0,0.01020408163265306,5.0,0.003912363067292645,4.0,0.015444015444015444,8.0,0.004248539564524694,8.0,0.024096385542168676,10.0,0.005122950819672131,9.0,0.02654867256637168,33.0,0.014385353095030515,29.0,0.07571801566579635,44.0,0.015625,34.0,0.06896551724137931
kotka,4.0,0.005747126436781609,4.0,0.02040816326530612,16.0,0.012519561815336464,15.0,0.05791505791505792,21.0,0.011152416356877323,19.0,0.0572289156626506,18.0,0.009221311475409836,14.0,0.04129793510324484,18.0,0.007846556233653008,16.0,0.04177545691906005,44.0,0.015625,30.0,0.060851926977687626
tutaj,11.0,0.015804597701149427,6.0,0.030612244897959183,16.0,0.012519561815336464,9.0,0.03474903474903475,18.0,0.009559214020180564,16.0,0.04819277108433735,24.0,0.012295081967213115,16.0,0.0471976401179941,27.0,0.011769834350479512,22.0,0.057441253263707574,43.0,0.015269886363636364,32.0,0.06490872210953347
dziś,,,,,,,,,5.0,0.0026553372278279343,5.0,0.015060240963855422,7.0,0.003586065573770492,4.0,0.011799410029498525,20.0,0.008718395815170008,16.0,0.04177545691906005,42.0,0.014914772727272728,30.0,0.060851926977687626
mały,2.0,0.0028735632183908046,2.0,0.01020408163265306,5.0,0.003912363067292645,5.0,0.019305019305019305,13.0,0.006903876792352629,12.0,0.03614457831325301,20.0,0.010245901639344262,15.0,0.04424778761061947,33.0,0.014385353095030515,28.0,0.0731070496083551,40.0,0.014204545454545454,30.0,0.060851926977687626
samochód,,,,,2.0,0.001564945226917058,2.0,0.007722007722007722,14.0,0.007434944237918215,13.0,0.0391566265060241,19.0,0.00973360655737705,14.0,0.04129793510324484,31.0,0.013513513513513514,24.0,0.06266318537859007,40.0,0.014204545454545454,32.0,0.06490872210953347
sik,,,,,9.0,0.007042253521126761,6.0,0.023166023166023165,12.0,0.006372809346787042,12.0,0.03614457831325301,14.0,0.007172131147540984,13.0,0.038348082595870206,30.0,0.013077593722755012,27.0,0.07049608355091384,39.0,0.013849431818181818,35.0,0.07099391480730223
zabawka,,,,,2.0,0.001564945226917058,1.0,0.003861003861003861,6.0,0.003186404673393521,5.0,0.015060240963855422,13.0,0.00665983606557377,12.0,0.035398230088495575,11.0,0.004795117698343505,9.0,0.02349869451697128,39.0,0.013849431818181818,35.0,0.07099391480730223
