,slowo,liczba_wystapien,czestosc_wystapien,liczba_dzieci,czestosc_dzieci
5746,zrobisz,14,0.0023376189681081983,12,0.014167650531286895
3556,pojechała,14,0.0023376189681081983,11,0.012987012987012988
110,autko,14,0.0023376189681081983,11,0.012987012987012988
552,chodz,14,0.0023376189681081983,11,0.012987012987012988
5231,wstawaj,14,0.0023376189681081983,14,0.01652892561983471
3302,picie,14,0.0023376189681081983,13,0.015348288075560802
810,dać,14,0.0023376189681081983,12,0.014167650531286895
153,baby,14,0.0023376189681081983,13,0.015348288075560802
3642,pomóż,14,0.0023376189681081983,13,0.015348288075560802
5752,zrobiłam,13,0.0021706461846718985,11,0.012987012987012988
4917,ubrać,13,0.0021706461846718985,12,0.014167650531286895
2144,kupę,13,0.0021706461846718985,11,0.012987012987012988
1606,jogurt,13,0.0021706461846718985,12,0.014167650531286895
993,dziadziuś,13,0.0021706461846718985,11,0.012987012987012988
3466,pobawisz,13,0.0021706461846718985,9,0.010625737898465172
1756,kawę,13,0.0021706461846718985,13,0.015348288075560802
5547,założyć,13,0.0021706461846718985,13,0.015348288075560802
3342,pieska,13,0.0021706461846718985,13,0.015348288075560802
2590,mleczko,13,0.0021706461846718985,12,0.014167650531286895
812,dała,13,0.0021706461846718985,12,0.014167650531286895
226,bawię,13,0.0021706461846718985,13,0.015348288075560802
388,brzuch,13,0.0021706461846718985,12,0.014167650531286895
2282,lody,13,0.0021706461846718985,11,0.012987012987012988
2227,lekarza,13,0.0021706461846718985,13,0.015348288075560802
4257,serek,13,0.0021706461846718985,12,0.014167650531286895
3735,powiem,13,0.0021706461846718985,12,0.014167650531286895
958,dwa,13,0.0021706461846718985,12,0.014167650531286895
5659,zjemy,13,0.0021706461846718985,12,0.014167650531286895
2206,lasu,13,0.0021706461846718985,12,0.014167650531286895
167,bajeczkę,13,0.0021706461846718985,12,0.014167650531286895
5822,ładnie,13,0.0021706461846718985,12,0.014167650531286895
172,bajka,13,0.0021706461846718985,12,0.014167650531286895
4810,traktor,13,0.0021706461846718985,12,0.014167650531286895
527,chciałbym,12,0.0020036734012355987,6,0.0070838252656434475
873,dom,12,0.0020036734012355987,11,0.012987012987012988
4646,słoneczko,12,0.0020036734012355987,11,0.012987012987012988
588,chrupki,12,0.0020036734012355987,11,0.012987012987012988
922,drugi,12,0.0020036734012355987,6,0.0070838252656434475
487,będą,12,0.0020036734012355987,11,0.012987012987012988
519,chcesz,12,0.0020036734012355987,9,0.010625737898465172
4711,tatusia,12,0.0020036734012355987,12,0.014167650531286895
462,byliśmy,12,0.0020036734012355987,12,0.014167650531286895
1003,dzidzi,12,0.0020036734012355987,9,0.010625737898465172
555,chodzić,12,0.0020036734012355987,12,0.014167650531286895
1660,kakao,12,0.0020036734012355987,12,0.014167650531286895
5771,zupę,12,0.0020036734012355987,11,0.012987012987012988
3751,położyć,12,0.0020036734012355987,9,0.010625737898465172
5399,włączysz,12,0.0020036734012355987,12,0.014167650531286895
1335,górę,12,0.0020036734012355987,12,0.014167650531286895
3788,prezenty,12,0.0020036734012355987,11,0.012987012987012988
5386,włosy,12,0.0020036734012355987,11,0.012987012987012988
1900,komputer,12,0.0020036734012355987,11,0.012987012987012988
2567,misiu,12,0.0020036734012355987,10,0.011806375442739079
2066,książkę,12,0.0020036734012355987,11,0.012987012987012988
292,bije,12,0.0020036734012355987,12,0.014167650531286895
2611,mocno,12,0.0020036734012355987,11,0.012987012987012988
2195,lalkę,12,0.0020036734012355987,12,0.014167650531286895
5436,zabrał,12,0.0020036734012355987,10,0.011806375442739079
105,autem,12,0.0020036734012355987,12,0.014167650531286895
1841,kocha,12,0.0020036734012355987,9,0.010625737898465172
2907,niunio,12,0.0020036734012355987,3,0.0035419126328217238
3997,później,12,0.0020036734012355987,12,0.014167650531286895
1494,jajko,12,0.0020036734012355987,11,0.012987012987012988
227,bawił,12,0.0020036734012355987,10,0.011806375442739079
4541,sukienkę,11,0.0018367006177992986,11,0.012987012987012988
475,były,11,0.0018367006177992986,9,0.010625737898465172
4388,soczek,11,0.0018367006177992986,10,0.011806375442739079
2509,miała,11,0.0018367006177992986,10,0.011806375442739079
1824,klocków,11,0.0018367006177992986,10,0.011806375442739079
5750,zrobił,11,0.0018367006177992986,10,0.011806375442739079
5754,zrobiłem,11,0.0018367006177992986,10,0.011806375442739079
2705,mówi,11,0.0018367006177992986,11,0.012987012987012988
3082,oli,11,0.0018367006177992986,11,0.012987012987012988
