,lemat,liczba_wystapien,czestosc_wystapien,liczba_dzieci,czestosc_dzieci
1506,lalka,37,0.009393247017009393,30,0.03541912632821724
3398,widzieć,37,0.009393247017009393,31,0.03659976387249114
902,grać,37,0.009393247017009393,31,0.03659976387249114
917,grzeczny,37,0.009393247017009393,30,0.03541912632821724
1177,kanapka,36,0.00913937547600914,32,0.03778040141676505
1813,może,35,0.008885503935008886,24,0.02833530106257379
3467,wrócić,35,0.008885503935008886,33,0.03896103896103896
633,dostać,34,0.008631632394008631,29,0.03423848878394333
3920,żeby,34,0.008631632394008631,31,0.03659976387249114
3827,ładny,34,0.008631632394008631,32,0.03778040141676505
1741,mikołaj,34,0.008631632394008631,30,0.03541912632821724
2320,piłka,34,0.008631632394008631,28,0.03305785123966942
617,domek,34,0.008631632394008631,29,0.03423848878394333
3736,zjemć,34,0.008631632394008631,31,0.03659976387249114
313,brzuszek,33,0.008377760853008377,27,0.031877213695395513
418,chory,33,0.008377760853008377,29,0.03423848878394333
1845,mówić,33,0.008377760853008377,28,0.03305785123966942
1839,myć,33,0.008377760853008377,30,0.03541912632821724
3323,umyć,33,0.008377760853008377,31,0.03659976387249114
2483,poprosić,32,0.008123889312008125,27,0.031877213695395513
3584,xxx,32,0.008123889312008125,26,0.030696576151121605
1438,kto,31,0.00787001777100787,27,0.031877213695395513
3491,wujek,31,0.00787001777100787,29,0.03423848878394333
2011,obiadek,30,0.007616146230007616,27,0.031877213695395513
2432,pokój,30,0.007616146230007616,29,0.03423848878394333
1967,no,30,0.007616146230007616,27,0.031877213695395513
3728,zimno,29,0.007362274689007363,26,0.030696576151121605
2610,przynieść,29,0.007362274689007363,27,0.031877213695395513
343,but,29,0.007362274689007363,27,0.031877213695395513
1373,kotek,29,0.007362274689007363,26,0.030696576151121605
531,czerwony,28,0.007108403148007108,22,0.025974025974025976
3562,wziąć,28,0.007108403148007108,26,0.030696576151121605
1442,kuba,28,0.007108403148007108,20,0.023612750885478158
2516,potem,28,0.007108403148007108,21,0.024793388429752067
2553,prezent,28,0.007108403148007108,26,0.030696576151121605
1433,książeczka,28,0.007108403148007108,27,0.031877213695395513
3675,założyć,28,0.007108403148007108,23,0.02715466351829988
2953,spacerek,27,0.006854531607006854,25,0.0295159386068477
3788,zupka,27,0.006854531607006854,25,0.0295159386068477
321,budować,27,0.006854531607006854,22,0.025974025974025976
2152,pa,27,0.006854531607006854,13,0.015348288075560802
3599,zabrać,26,0.006600660066006601,22,0.025974025974025976
3233,trzeba,26,0.006600660066006601,21,0.024793388429752067
2718,raz,26,0.006600660066006601,22,0.025974025974025976
2210,patrzyć,26,0.006600660066006601,23,0.02715466351829988
1636,malować,25,0.0063467885250063465,19,0.02243211334120425
3155,telewizor,25,0.0063467885250063465,24,0.02833530106257379
1962,niunia,25,0.0063467885250063465,13,0.015348288075560802
3785,zupa,25,0.0063467885250063465,22,0.025974025974025976
2027,od,25,0.0063467885250063465,23,0.02715466351829988
2087,ola,25,0.0063467885250063465,18,0.021251475796930343
3319,umieć,25,0.0063467885250063465,23,0.02715466351829988
1080,jeden,25,0.0063467885250063465,24,0.02833530106257379
606,dobry,24,0.006092916984006093,22,0.025974025974025976
2746,rok,24,0.006092916984006093,17,0.020070838252656435
247,bić,24,0.006092916984006093,24,0.02833530106257379
334,buma,24,0.006092916984006093,14,0.01652892561983471
3627,zakupy,24,0.006092916984006093,23,0.02715466351829988
1502,lal,24,0.006092916984006093,19,0.02243211334120425
3313,układać,24,0.006092916984006093,21,0.024793388429752067
3656,zaraz,24,0.006092916984006093,22,0.025974025974025976
691,dziadzie,23,0.005839045443005839,19,0.02243211334120425
3286,ubrać,23,0.005839045443005839,21,0.024793388429752067
1330,komputer,23,0.005839045443005839,20,0.023612750885478158
3040,swój,23,0.005839045443005839,21,0.024793388429752067
1933,niegrzeczny,23,0.005839045443005839,20,0.023612750885478158
1590,lód,22,0.005585173902005585,18,0.021251475796930343
1988,nowy,22,0.005585173902005585,21,0.024793388429752067
209,bać,22,0.005585173902005585,20,0.023612750885478158
3758,zmęczyć,22,0.005585173902005585,20,0.023612750885478158
2998,stać,22,0.005585173902005585,21,0.024793388429752067
2276,piesek,22,0.005585173902005585,20,0.023612750885478158
305,brum,22,0.005585173902005585,8,0.009445100354191263
2939,soczek,22,0.005585173902005585,19,0.02243211334120425
3757,zmęczony,22,0.005585173902005585,20,0.023612750885478158
1975,noga,21,0.005331302361005331,19,0.02243211334120425
197,basen,21,0.005331302361005331,20,0.023612750885478158
2162,padać,21,0.005331302361005331,19,0.02243211334120425
1661,mamuś,21,0.005331302361005331,9,0.010625737898465172
2757,rower,21,0.005331302361005331,17,0.020070838252656435
523,czekać,21,0.005331302361005331,19,0.02243211334120425
1511,las,21,0.005331302361005331,20,0.023612750885478158
723,dzień,21,0.005331302361005331,18,0.021251475796930343
2801,rączka,21,0.005331302361005331,20,0.023612750885478158
941,góra,21,0.005331302361005331,21,0.024793388429752067
3279,ubierać,21,0.005331302361005331,16,0.018890200708382526
798,fajnie,20,0.005077430820005078,15,0.01770956316410862
1440,który,20,0.005077430820005078,18,0.021251475796930343
3255,twój,20,0.005077430820005078,19,0.02243211334120425
3216,traktor,20,0.005077430820005078,18,0.021251475796930343
3903,światło,20,0.005077430820005078,18,0.021251475796930343
3337,urodziny,20,0.005077430820005078,18,0.021251475796930343
1397,kredka,20,0.005077430820005078,20,0.023612750885478158
508,cukierka,20,0.005077430820005078,18,0.021251475796930343
644,drugi,20,0.005077430820005078,14,0.01652892561983471
2568,przecież,20,0.005077430820005078,17,0.020070838252656435
1884,naprawić,19,0.004823559279004823,16,0.018890200708382526
1464,kupa,19,0.004823559279004823,16,0.018890200708382526
1610,maj,19,0.004823559279004823,12,0.014167650531286895
2789,rysować,19,0.004823559279004823,18,0.021251475796930343
2719,razem,19,0.004823559279004823,16,0.018890200708382526
396,chlebek,19,0.004823559279004823,18,0.021251475796930343
3029,sukienka,19,0.004823559279004823,15,0.01770956316410862
3683,zbudować,19,0.004823559279004823,18,0.021251475796930343
582,deszcz,19,0.004823559279004823,17,0.020070838252656435
3079,szukać,18,0.00456968773800457,16,0.018890200708382526
2534,położyć,18,0.00456968773800457,14,0.01652892561983471
2317,piękny,18,0.00456968773800457,16,0.018890200708382526
799,fajny,18,0.00456968773800457,15,0.01770956316410862
670,dwa,18,0.00456968773800457,16,0.018890200708382526
2860,siedzieć,18,0.00456968773800457,15,0.01770956316410862
739,dziękować,18,0.00456968773800457,14,0.01652892561983471
2139,otworzyć,18,0.00456968773800457,18,0.021251475796930343
544,czytać,18,0.00456968773800457,17,0.020070838252656435
3476,wstawać,18,0.00456968773800457,17,0.020070838252656435
2376,pociąg,18,0.00456968773800457,14,0.01652892561983471
3381,wczoraj,18,0.00456968773800457,16,0.018890200708382526
2147,oć,17,0.004315816197004316,8,0.009445100354191263
2570,przeczytać,17,0.004315816197004316,17,0.020070838252656435
2959,spaść,17,0.004315816197004316,14,0.01652892561983471
555,daleko,17,0.004315816197004316,15,0.01770956316410862
2279,pieska,17,0.004315816197004316,16,0.018890200708382526
3153,telefon,17,0.004315816197004316,16,0.018890200708382526
1446,kubuś,17,0.004315816197004316,15,0.01770956316410862
2306,pisać,17,0.004315816197004316,15,0.01770956316410862
95,ania,17,0.004315816197004316,10,0.011806375442739079
2975,sprzątać,17,0.004315816197004316,16,0.018890200708382526
3576,włos,17,0.004315816197004316,14,0.01652892561983471
1434,książka,17,0.004315816197004316,16,0.018890200708382526
3001,sto,16,0.004061944656004062,9,0.010625737898465172
3863,łóżko,16,0.004061944656004062,16,0.018890200708382526
1216,kaszka,16,0.004061944656004062,14,0.01652892561983471
3778,zostać,16,0.004061944656004062,14,0.01652892561983471
2758,rowerek,16,0.004061944656004062,16,0.018890200708382526
3796,zuzień,16,0.004061944656004062,11,0.012987012987012988
434,chyba,16,0.004061944656004062,15,0.01770956316410862
1782,mleczko,16,0.004061944656004062,14,0.01652892561983471
1021,inny,16,0.004061944656004062,13,0.015348288075560802
2435,pole,16,0.004061944656004062,16,0.018890200708382526
2475,popatrzeć,16,0.004061944656004062,14,0.01652892561983471
1112,jogurt,16,0.004061944656004062,15,0.01770956316410862
464,ciemno,16,0.004061944656004062,16,0.018890200708382526
3454,wolno,16,0.004061944656004062,15,0.01770956316410862
925,guma,16,0.004061944656004062,12,0.014167650531286895
609,doktor,16,0.004061944656004062,14,0.01652892561983471
1831,myj,15,0.003808073115003808,9,0.010625737898465172
3297,uderzyć,15,0.003808073115003808,15,0.01770956316410862
1918,nic,15,0.003808073115003808,15,0.01770956316410862
2209,patrzeć,15,0.003808073115003808,10,0.011806375442739079
703,dzidzie,15,0.003808073115003808,9,0.010625737898465172
2667,puzzła,15,0.003808073115003808,13,0.015348288075560802
2426,pokazać,15,0.003808073115003808,12,0.014167650531286895
746,dzwonić,15,0.003808073115003808,13,0.015348288075560802
2295,piosenka,15,0.003808073115003808,15,0.01770956316410862
1345,koparka,15,0.003808073115003808,13,0.015348288075560802
1370,kot,15,0.003808073115003808,13,0.015348288075560802
2275,pies,15,0.003808073115003808,11,0.012987012987012988
2675,pyszny,15,0.003808073115003808,15,0.01770956316410862
1522,lecieć,15,0.003808073115003808,15,0.01770956316410862
721,dziewczynka,15,0.003808073115003808,14,0.01652892561983471
2825,samolot,15,0.003808073115003808,14,0.01652892561983471
3477,wstać,15,0.003808073115003808,14,0.01652892561983471
1072,jasio,14,0.003554201574003554,7,0.008264462809917356
646,drzewo,14,0.003554201574003554,13,0.015348288075560802
1335,konik,14,0.003554201574003554,14,0.01652892561983471
2781,ruszać,14,0.003554201574003554,13,0.015348288075560802
2617,przytulić,14,0.003554201574003554,12,0.014167650531286895
170,bajeczka,14,0.003554201574003554,13,0.015348288075560802
748,dół,14,0.003554201574003554,13,0.015348288075560802
311,brzuch,14,0.003554201574003554,13,0.015348288075560802
2853,siadać,14,0.003554201574003554,12,0.014167650531286895
3640,zapalić,14,0.003554201574003554,13,0.015348288075560802
3888,śniadanko,14,0.003554201574003554,14,0.01652892561983471
1129,julia,14,0.003554201574003554,9,0.010625737898465172
3893,śpiewać,14,0.003554201574003554,14,0.01652892561983471
2849,serka,14,0.003554201574003554,13,0.015348288075560802
122,autko,14,0.003554201574003554,11,0.012987012987012988
354,bułka,14,0.003554201574003554,13,0.015348288075560802
2193,park,14,0.003554201574003554,13,0.015348288075560802
1223,kawa,14,0.003554201574003554,13,0.015348288075560802
124,autobus,14,0.003554201574003554,14,0.01652892561983471
995,huśtawka,13,0.0033003300330033004,12,0.014167650531286895
